date,source,query,title,description,link,published
2026-09-13,google,건강,"50세 차태현, “건강 위해 점심시간마다 한다”는 것… 뭘까?","50세 차태현, “건강 위해 점심시간마다 한다”는 것… 뭘까? health.chosun.com",https://news.google.com/rss/articles/CBMif0FVX3lxTE12MUMwV2FnUGtSb0VucWdXcERLN25wQUtfc2g3N0ZKOTFmMy1GelB6dnB6QTJQbDJkYjFwUFR4R09Kc0VtOFdXY0g0MzJCcDBKbVY2RXRGVmt3aU9fTloxNEhPU3hpazhzTE5xLWNIT2FrVXdVdGV3b0gtLV95WXc?oc=5,"Sun, 13 Sep 2026 03:04:00 GMT"
2026-09-13,google,건강,"""저렇게 예쁜 사람이…"" 너무 '완벽한 미녀'가 정신 건강에 미치는 영향[실험노트]","""저렇게 예쁜 사람이…"" 너무 '완벽한 미녀'가 정신 건강에 미치는 영향[실험노트] v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5IMlNRTzhINHNUYi1UajRXVjNKclBrMDZwdXZKLVVleTNtZXJBQ3BKUUlyYnZ3TGp3UmcxTmd3WVFUcG95dzQ1VTYtWlFCaUk?oc=5,"Fri, 11 Sep 2026 22:11:00 GMT"
2026-09-13,google,건강,노숙인 종합지원센터에 정신건강전문요원 배치 의무화 추진,노숙인 종합지원센터에 정신건강전문요원 배치 의무화 추진 연합뉴스,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBoTzM3QmVFcGRYTS0wdWl4SmlpNXJ3NXJxbGJPc0lyd1ZiT0N2TE9BRV9oSU5jWDgzSzR4ZlAxME54T3c0YklzQmZHSWg5bWtzZHVSakQtcHJoNkHSAWBBVV95cUxOb01lTUVoYjdNT1BEQk1jUUNWM1QtY0MzMDFvbmhveklzbVJVQm5IRXJka1BfcTl3VVNxNWlDS1Q2RGtITGQ1aS1hdWVWeVRZLWpVN1Y3dEcxSFhlN2Y4YWI?oc=5,"Fri, 11 Sep 2026 11:14:00 GMT"
2026-09-13,google,건강,[오늘 날씨] 일교차 큰 가을 날씨…환절기 건강관리 유의 - 머니투데이,[오늘 날씨] 일교차 큰 가을 날씨…환절기 건강관리 유의 - 머니투데이 머니투데이,https://news.google.com/rss/articles/CBMia0FVX3lxTE1NWm5WT1o2VHRTTHFDNGUtczhGaHA5VXlVel95LWtDNktva3JtX0djUUk4cE52bzM4bmNFNFZYY2R1R19fdGJJMVFRNThXZ1l4aWpRWWtFOF9qRFI2YkQ5ZkdhWUJYd3JjQ0Ew0gFwQVVfeXFMTzlCbEFVZzA4eXNwU2ItY3F6QWw2b1VOMG5hb05BaWlLQzJxeGZCb1pIVjdEZDZ1bkxUeExJT1p3OVpMQS1xWFRfZzJJMGIzUU5XU3dlNVBqSWRmVTlUOFVUbGk2Wm9pWU5NZjJpSXRqcw?oc=5,"Sat, 12 Sep 2026 22:00:00 GMT"
2026-09-13,google,건강,"‘건강이상설’ 전원주, 유튜브 중단 ‘돈’ 때문?…“올린다니까 그만두겠대”","‘건강이상설’ 전원주, 유튜브 중단 ‘돈’ 때문?…“올린다니까 그만두겠대” biz.heraldcorp.com",https://news.google.com/rss/articles/CBMiVkFVX3lxTE9PQWJ2aHYwbi1EbVhzZnZLZWdocDdEUVMwWktZTWpxY2VQSXdUbUtqeUwzQlR4SUZBRnpQRTBKamZyYXk4YXlUUlZ6WFcwR3NoVEM3RVJ3?oc=5,"Sat, 12 Sep 2026 10:06:35 GMT"
2026-09-13,google,건강,"전원주, 유튜브 중단 이유 건강 아닌 돈?…""좀 올리려 했더니""","전원주, 유튜브 중단 이유 건강 아닌 돈?…""좀 올리려 했더니"" 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9vQldhdmZZckZLMXlQeWJRMnM2LXZJdDRwdUd6TnBZM1JqTFdxdzVGbTBNdHR5eVJoZE9FRHpmZjE0NDlxTjU3LUtJbldiOUVOc2NjRm1JQkZiZw?oc=5,"Sat, 12 Sep 2026 01:50:42 GMT"
2026-09-13,google,건강,가을 춘천 곳곳 축제로 들썩…건강·문화부터 세계 태권도까지,가을 춘천 곳곳 축제로 들썩…건강·문화부터 세계 태권도까지 에너지경제신문,https://news.google.com/rss/articles/CBMiY0FVX3lxTE84cFJOaExGMURuZVM1Z0lsT0dhVjlERFhaN3JPTFF0SU1BTmtpSjVVcUZMbmxrejVDbmxXS215d09EWGxhbEloYWdFeEkzSlFUWW5GdGFSNVVuVjRlZDdacjNMbw?oc=5,"Sun, 13 Sep 2026 01:23:54 GMT"
2026-09-13,google,건강,“주말 아침은 대충 늦게”… 심장 넘어 척추 건강도 위협한다[일터 일침],“주말 아침은 대충 늦게”… 심장 넘어 척추 건강도 위협한다[일터 일침] 서울경제,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5CNlNsRzZYY3VXS0ZzalYxZmVTMmdZVURyUF9UclpZcjNKbGNkRFAweWtKLTZ1RVZTUnRFTmF0WEszTEFaNHk5TmE5R2RZdXVYaEHSAVNBVV95cUxNX2VLcFFTeWtEQXNUUk5DS0RUenAxTlZPNVhIVDd0Y3BuT2pLa0syZVBPcVlWZURYZmNZSm1NYXR5Xzl6VXFHQV94bWN5d0dLODlSQQ?oc=5,"Sat, 12 Sep 2026 23:30:00 GMT"
2026-09-13,google,건강,치매 환자 100만명 시대…60세 이상 정기검사 필요 [건강칼럼],치매 환자 100만명 시대…60세 이상 정기검사 필요 [건강칼럼] 경기일보,https://news.google.com/rss/articles/CBMiW0FVX3lxTE93U0NrUVhrU0dCcVNhTlVETVozclYtQmcwaDk1YlRRY3VadFowa0dqMVZGM003RUpuajd1TXVtLWs0UThOUXE2V3I5SERTLW5MMjZfWW03azBya2s?oc=5,"Sat, 12 Sep 2026 02:00:00 GMT"
2026-09-13,google,건강,"""가지 건강하게 먹으려면 이렇게""…김소형이 공개한 조리 비법","""가지 건강하게 먹으려면 이렇게""…김소형이 공개한 조리 비법 뉴시스",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1haWpjdTh0cGxQQW1GZ09MZ1paNXBwbmpqa29xN0FRdUpPVTlaczFTZ0N1aTM2M09id055SC1xT3VLWW1IUkhSVVhSREdzYUxGQjRHc2ktNEdjYWc5NHV3S9IBeEFVX3lxTFBBUXNRMW5oVXZ5SndCSE1PNVJyeS1Mc0RVY3F1U3A3RUZTeGZaQ2FrckF6ak5pSkVnbV9NMVY1TnpYRDhseDZBWU9kQWI3djhGQTkxYnc4MUlyNzk3azFUZmlLdXlCM2E1alJkZGRSdHZVamEzNVIwUA?oc=5,"Sat, 12 Sep 2026 08:25:10 GMT"
