date,source,query,title,description,link,published
2026-07-15,google,건강,“무심코 했는데 심장 망친다”…의사가 꼽은 중년 최악의 습관 5가지,“무심코 했는데 심장 망친다”…의사가 꼽은 중년 최악의 습관 5가지 동아일보,https://news.google.com/rss/articles/CBMidkFVX3lxTE82NzNUdE9FY1RVSTgwNFp1ejN6T1RkbjVjbWVvSnVWYjZZOXNDTEdvTmllbks5OG00NHFCczMtaWZSbl9YaEFvbUgycTRKWGFZM3JBSDFaTmo3aDNCekRCc2JmQkFEMEhiaWl5a0FxTXBOY1NjcGfSAWZBVV95cUxPbGtlMzhsUXdRbzVpamV4MFpOT2NQUGVVazVJVG1xNWhFbWdFT1owM0VXZ19RTjYxQS1LSzFfUGNmMkp1aHA3S3JyNHdRZ0IzZkFISnYwRUxWU1ZWWVJVWXpPdWN5bFE?oc=5,"Mon, 13 Jul 2026 22:54:04 GMT"
2026-07-15,google,건강,"박준형 ""건강 지키려고 먹었는데 몸 망가졌다""…무슨 일이 [건강!톡]","박준형 ""건강 지키려고 먹었는데 몸 망가졌다""…무슨 일이 [건강!톡] 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1sTmlkVUlqVFVrQ1RVbVUwbFpOc0xrMXhNQ2gxa2tUZmx4TjVJT2MyYlBLRXgzYmlJOE5QeGxocWFBTElsWk5lQzJMcjV0TEJJeFBQUE0yVlF5UQ?oc=5,"Sun, 12 Jul 2026 05:44:26 GMT"
2026-07-15,google,건강,"관악구, 장애인 건강보건관리사업 우수성 인정…보건복지부 장관 표창 수상","관악구, 장애인 건강보건관리사업 우수성 인정…보건복지부 장관 표창 수상 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1tUVVBUjhvU1ltY3A5WXhBZEtiRldvSThwcG5vU0ZLRlQzNTE2Q0VMazJTdWd0cGdzc3RFelFWU3FrZ2JOUDN2UmUtMHdDSmZFbXQ2VEFwTllmbGs?oc=5,"Wed, 15 Jul 2026 00:50:12 GMT"
2026-07-15,google,건강,"경북 의성군, 산불 트라우마 치유 프로그램 ‘마음건강백세’ 운영","경북 의성군, 산불 트라우마 치유 프로그램 ‘마음건강백세’ 운영 브릿지경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5FLW9ZNDh1TzVPWTJnUUE2S3dreFZXSTlvS3R3WFR6ZWNaMTd3QXhxSWFMWUQ2S1dUcG5HWDh5a0E4SVc2ZXVnaUp3UGYwOGt5OUpWLTNyVzNaQQ?oc=5,"Wed, 15 Jul 2026 01:05:00 GMT"
2026-07-15,google,건강,'농촌왕진버스'가 왔다…농업인 건강 챙긴 사천 용현농협,'농촌왕진버스'가 왔다…농업인 건강 챙긴 사천 용현농협 뉴시스,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5STDVDRG1DZzNIV1ViSzB6bnRCX2pXYm5aQTRKdUl6alFkenhrQUEzV0ktSTZLYklYMVkzUjFjX3dBNDM1c1lZQks3TjJLbkFGdVBmdFVfcVc2TXJZcDV5QQ?oc=5,"Wed, 15 Jul 2026 01:12:53 GMT"
2026-07-15,google,건강,"부처님 첫 건강검진... ""앗, 머리 속에 유물이""","부처님 첫 건강검진... ""앗, 머리 속에 유물이"" 조선일보",https://news.google.com/rss/articles/CBMilAFBVV95cUxOWmpLX3JBcmd2UndlMDNpWnJWZjk1b0NTbzZtNDFjcWVESHB2Z2poQXptSkpYRXg2ZU83czVJQmxia3ljcVdxRUtOMlpwUmdMZS0wNGhLdDYwamJwVzJ5Y2FEdlUwREp1MWhZcTJRXzhMa0RLT2ppbFFrbkpmUDVSQnEwLWpMb1pFeW00LVNwTGdBZWpt?oc=5,"Tue, 14 Jul 2026 13:32:39 GMT"
2026-07-15,google,건강,"'188cm' 유지태, 최대 몸무게 105kg 찍고 부작용…""건강 악화"" (MJ)","'188cm' 유지태, 최대 몸무게 105kg 찍고 부작용…""건강 악화"" (MJ) v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9RRHVKT3dURmR1elJqa1IxSk9xVVRxNGg5bWJDNWVwMnV5WXVDS0VaeHRMRlJzdGUtWnVrTEZrczd3bDUwTExWNmQxM19ZcVE?oc=5,"Tue, 14 Jul 2026 10:01:50 GMT"
2026-07-15,google,건강,"이모코그, 한신메디피아와 뇌건강 검진 디지털화 ‘맞손’","이모코그, 한신메디피아와 뇌건강 검진 디지털화 ‘맞손’ 팜이데일리",https://news.google.com/rss/articles/CBMibkFVX3lxTFBSSnkyd1l1VGhNUHdzTXAwb3B3S1VRMmtVT0FnVlloMHZIaFA1MFNsVWNFbmx4cExNR2hncjBsd084djFDbDRyRkJPSU4xaTR5dDJGVGlFUE1fT3pucDlKZkRmLWU1THp6MnhYcUxn?oc=5,"Tue, 14 Jul 2026 23:29:14 GMT"
2026-07-15,google,건강,"삼성생명, 치매·뇌·관절 보장 확대 '삼성 시니어대표건강보험' 출시 - 머니투데이","삼성생명, 치매·뇌·관절 보장 확대 '삼성 시니어대표건강보험' 출시 - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMia0FVX3lxTE9oNmU2ZUhodUQ1OEVFVm14QmRsWXRuNWNXcVNHbFJnVkU3MHVkWmtTU2w1TXZBN0tOUVU0QXdSSVREREVhajdQd3V2cXI2VklUN3hjUnJydUtlWkZlUlpiMUtMUGRFUUM0emJZ0gFwQVVfeXFMT2Y4SEVkWGlFaWZFbFhCTmd4YVR5S3daR0dfS3NMcl9uSzA2VGVDNnEwOEVYYlNINmhYNnd3Y3ppaWgzbUFPdkVkRXZDQU94MkxvRllrc0JzTWd4LTJUZWxoSFljajZrY3V4cVhTQ0sybQ?oc=5,"Wed, 15 Jul 2026 01:18:36 GMT"
2026-07-15,google,건강,"치매부터 뇌·관절질환까지 보장…삼성생명, ‘시니어대표건강보험’ 출시 [코주부]","치매부터 뇌·관절질환까지 보장…삼성생명, ‘시니어대표건강보험’ 출시 [코주부] 서울경제",https://news.google.com/rss/articles/CBMiUkFVX3lxTFBMMDQ4SUFtVVlSSUtSM3ZsT3p4V1hMYVRidnAzMFZRSmF6dHpDODdCeUtkb3BGa3FiaUZVYmJQREV4OHpEV3BSWmJwdlU1YWJHemfSAVNBVV95cUxQb1lYQ0hfNW5mZkNrMDJqN0lpbXVGSXByOEp3MXBlZXZtbHRVNjVWbUcxd05OZ1hweldiMkdzdWxUOUUyU2ZiSThrSS1YVEx6eTlqNA?oc=5,"Wed, 15 Jul 2026 02:22:54 GMT"
