date,source,query,title,description,link,published
2026-09-02,google,건강,네팔 홍수 사망자 1천명 넘어…'150명이 화장실 2개 공유' 생존자 건강도 위기,네팔 홍수 사망자 1천명 넘어…'150명이 화장실 2개 공유' 생존자 건강도 위기 프레시안,https://news.google.com/rss/articles/CBMia0FVX3lxTE15MkJoc0tIT0V6VHEzNmttY2c3bXR0NEE0YW9hZTlBX2NWeV9McDVfSWVzWUFtdVFMTmNKUFRYelVPeG1VOU1zS0lqYUJqVlgyVFJRN0xwMHc5enhJYUZidWFPa2hYUDQyMFhJ?oc=5,"Tue, 01 Sep 2026 09:16:09 GMT"
2026-09-02,google,건강,듀켐바이오 ‘프로스타시크’ 건강보험 급여 적용…환자 부담 낮아져,듀켐바이오 ‘프로스타시크’ 건강보험 급여 적용…환자 부담 낮아져 팜이데일리,https://news.google.com/rss/articles/CBMibkFVX3lxTE1fc0JqYWZyd0tXeEN4Nnp6eDJRMDZROUVpRU1EVWF1Q2J3akJIS3FrYTN2LXdLUnhUdTcxN0JSMzhnTEEwMnVzTTZSS05faGdZZmRvalltX0ZhRFZZc194SmE3RzJlUWc2MDlGY2RB?oc=5,"Wed, 02 Sep 2026 01:51:46 GMT"
2026-09-02,google,건강,"NH농협생명, 혈관튼튼NH건강보험 출시…검사·치료·재활 보장","NH농협생명, 혈관튼튼NH건강보험 출시…검사·치료·재활 보장 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5fOFRWMVBFN0Q3M0h0VlZ2NDFIMGRXRS1qcTdMbkFKb3pWd3YyTC1DQlV2SWs5WWlvdEQzbHVadjZKLXZFdTVPTjR2cWVkaW51Ny1aOUVZMEhZVGc?oc=5,"Tue, 01 Sep 2026 01:25:54 GMT"
2026-09-02,google,건강,"iM라이프, 건강보험 시장 진출… 'iM 액티브케어 치매간병보험' 출시 - 머니투데이","iM라이프, 건강보험 시장 진출… 'iM 액티브케어 치매간병보험' 출시 - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMia0FVX3lxTE9UcG5lZVd3ZFFWZ3RfYUNGaU1nSjBLQ3l3S0Q5dW5KNlhBWUp5WURYYTNrTTlJQ0lzQVptNWJsV2pJMjBMbk9BQlY4d05LcGRkNE1ERGxBZExQd0VDblRJLXZORlNrSjhKNl9v0gFwQVVfeXFMTVFVZXB3S2hLc01rRTBLS2NuR19HS0VHWV9keVp1NmY5enIxcENTcHFvU0tqYVd3STYzQUpEUm5ZeVQ0T2RDaVBLY1JjMnQxWDNKNlNoUDRFcUxaSGxLSDc5eWdDbTBlcE56WWJraUI3SA?oc=5,"Tue, 01 Sep 2026 01:43:21 GMT"
2026-09-02,google,건강,건강검진 예정돼 있다면…당일에 ‘이 약’ 안돼요,건강검진 예정돼 있다면…당일에 ‘이 약’ 안돼요 동아일보,https://news.google.com/rss/articles/CBMidkFVX3lxTE5SbF9TcU1BRDBocnZmblgzQ00xR2VDM0hvdzZnMDFaOXU5dGFGbXVIT1BqTmVHZElqZ1pxR0NDX3BBeVdkWjNCUS0tSGlCSllLTnV0YTdYOUhSODlvT0ZWRG1kQkZPZVk2TTI5aHloMjNnZU5oU0HSAWZBVV95cUxPYmJEdzVPeHoxaHZuSWZoOXdKZlhQUkI4ckttTkx0MnRsckZzeU1NVmw2Q2E5N3VONjRqLVltQnhJd2NfUWw1QTNNdEJzYkpEVXBvNkV5Q0ZsNE5xelRLemVYRHZLOGc?oc=5,"Tue, 01 Sep 2026 23:08:20 GMT"
2026-09-02,google,건강,가게 닫고 건강검진하면 10만원…자영업자 육아수당도 150만원 [2027년 예산안],가게 닫고 건강검진하면 10만원…자영업자 육아수당도 150만원 [2027년 예산안] v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBPaDJzbkZYcm8xTnBVV1FaSTlpUmNZMDFJMXNTcmZsYzNndmg2Z21TZ1ZrNUxrYmw1LXBIRTBvb0p5MUlOUFhoVk1FeFBJa3M?oc=5,"Tue, 01 Sep 2026 02:42:13 GMT"
2026-09-02,google,건강,중장년 두뇌 건강 좌우하는 '뇌세포막'과 혈류,중장년 두뇌 건강 좌우하는 '뇌세포막'과 혈류 헬스조선,https://news.google.com/rss/articles/CBMif0FVX3lxTE9oMkMweUNCQnRuUUhxOG1mQXR2QzBLLVRxek91NU5tbjhzUUpuakNIeXhIQ1dSeVBhSUtIVUkwakVKWHdLbndVSVdJVTRHVFdCUFItbm54aWtia0tXTlFseXM2dTcycFQ1ZGJUTXRHTDBUUnZXM0dJazNzV3R6Y0k?oc=5,"Wed, 02 Sep 2026 00:39:00 GMT"
2026-09-02,google,건강,"한국건강관리협회 부산동부검진센터, 새들타운 아동에게 사회공헌 건강검진 지원","한국건강관리협회 부산동부검진센터, 새들타운 아동에게 사회공헌 건강검진 지원 국제신문",https://news.google.com/rss/articles/CBMijgFBVV95cUxNdnA5ejJjTkFmY3lpdkdKNXNMTUdYdEdCV3dub3VwOVljeVhSYnR1cjlPcFRoWk03UVNDRk5KYWFPa0JDaW80MEIxV0VhbVhYbnJSVUt4Z1NZUEM4ZjBuR1dCdk9rSHJzd0MweFd4QWlsVzhKd1h4dXNKT3RSeUwtVzItQU04dXZsRkZLMDFR?oc=5,"Tue, 01 Sep 2026 07:56:00 GMT"
2026-09-02,google,건강,"남양주시정신건강복지센터, '생명 사랑 찾기' 캠페인 진행","남양주시정신건강복지센터, '생명 사랑 찾기' 캠페인 진행 뉴스핌",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1FcnlhRTZ6d3dfbnBGc1B0NkJJVlBoWXpCUUdWWEJ1X1MtcFVyRHd3bDN0eW1zcGgxTEtZWGVkZFR6dVVtdEh4QXg1N0xNNERHaGhDeWZVU092aGNK?oc=5,"Tue, 01 Sep 2026 09:33:00 GMT"
2026-09-02,google,건강,"내 건강, 또래와 비교해 AI가 분석…10만명에 맞춤 건강리포트","내 건강, 또래와 비교해 AI가 분석…10만명에 맞춤 건강리포트 매일신문",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5xa3BVeEpyQndTUUhwY21SLWd2a0xCdTJYWHdmMFpRT1BkRkxfcFJZZVdsSHVBUDB6VEhSNXRsNk02ZWtmeUlsbXdqeURDa21HX3NaV0VxQi0wNkN3R3BzTlNB?oc=5,"Tue, 01 Sep 2026 21:30:00 GMT"
