date,source,query,title,description,link,published
2026-09-20,google,건강,이동·만남 증가하는 추석…감염병 예방으로 건강하게,이동·만남 증가하는 추석…감염병 예방으로 건강하게 뉴시스,https://news.google.com/rss/articles/CBMiYEFVX3lxTFA2NVZkLVhnWkh5a21xaHZfSENQOEN4Ry1QbHZvNEplY0J2UV9xc19wR2Fsc2ZUdEdVWkl2elBPUjhiSEFEd3F5ZGZCVVNlOGhwdVVrQ3dkcHlhUkYwQjMxZdIBeEFVX3lxTE1jWTJ4cFc2LWwxTDJZbU1NSGswNEpSbFdxT0kycncwTzlBeXVlck8xWUpxcnhTc1J5Y2lZbGRyeW0xU21aU043MW9yWmY4c0ZqVl9QZjRid0xGdjlSVkhVNkstM1Y1Z1lrSHZpYUVCZmszQ2VjNHZ0YQ?oc=5,"Sun, 20 Sep 2026 03:00:00 GMT"
2026-09-20,google,건강,정기석 전 건강보험공단 이사장→용산구보건소장으로 '새 출발',정기석 전 건강보험공단 이사장→용산구보건소장으로 '새 출발' 뉴스1,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBmTFB0Yk02dnhqTUgtSHBvbXA4Y1pfbUlEcmgzZjRfLWYwTlhNWVMyRG9WM3A2cGlrUHFLMWh3M1RoWmlITE1UR0g3X1VzaUlsc1diZEpKaEVFTDFI0gFiQVVfeXFMT1R1aGhsNG5obVVjNDlld0xjaXFCTU9ub3lYNHl2cmx0emFzSV9sZ0dueXdFaXVaX05Sbk1ULTVqbzV6NkhTNjhkb2xLTnBkR3Atd05WUjhtek9kcjFXUzJKWFE?oc=5,"Sun, 20 Sep 2026 01:43:46 GMT"
2026-09-20,google,건강,[9.21.월.조간] 추석연휴 건강하게! 감염병 예방수칙은 철저하게!,[9.21.월.조간] 추석연휴 건강하게! 감염병 예방수칙은 철저하게! 서울Pn,https://news.google.com/rss/articles/CBMiYkFVX3lxTE1kNE1RR2w0NGtqWWJWZFhBb3hxMWwya1AzNWE3NE1jUXRXTFlFSXU0eTBwYlk1VkFJTEZhSm9KS3o4bFNfRTZkTEcxOUEwQVcwenZHSzAtY3h6VldoNkMwaWFR?oc=5,"Sun, 20 Sep 2026 03:06:22 GMT"
2026-09-20,google,건강,"시진핑, 브릭스 만찬 막판 불참... 방미 앞두고 또 ‘건강 이상설’","시진핑, 브릭스 만찬 막판 불참... 방미 앞두고 또 ‘건강 이상설’ 조선일보",https://news.google.com/rss/articles/CBMingFBVV95cUxPajNPaldLZjlHZ0pfQ2pVZTQ1Mmg4ajVfRzhNNXRRbHJiUE9IaGIxbzVkSGtaMTEyWUtBMnM2c3FsY1lrMHc3MWRYLVl6d2wxN0pwdUF5YXBVbDdxY1NNS1lSdUFqMVVUakdNRkNPR3dEeTJ3TXBRMDFpQkdQWWszVWNRa1k0NnVkZTJzb0QyN1FOLVh2RUdZcENPOXJRZw?oc=5,"Sat, 19 Sep 2026 04:45:05 GMT"
2026-09-20,google,건강,"방미 앞둔 시진핑, 브릭스 만찬 불참… 건강 이상설 재점화","방미 앞둔 시진핑, 브릭스 만찬 불참… 건강 이상설 재점화 동아일보",https://news.google.com/rss/articles/CBMic0FVX3lxTFBVcDVKUGdfaURsUi1GMXRiMjVsd3pZUl9MTzdUWVZ3MVE1b2JZU2RpZE5CNnY2RnNpTk0ydEhkSjdEdm8zam5KaDlYaGpZQXhhbnVqM0FaeWlHNDZKNHkzMk1aaWdDMkdibjRLaVdOOU56a3fSAWZBVV95cUxPZnIwTlVaaEFmMDdwNFZwV2hhX3JyR21zYlBMOFJnYWx3RXpJSTR4TkYwMDF4VkRUUVUyTjFsbXQtVnJMam8teUUySjdqc1gxd092aDFhakhKRWZTaW40Uzg0Ync1UlE?oc=5,"Sun, 20 Sep 2026 04:20:20 GMT"
2026-09-20,google,건강,“시진핑 몸 불편해 브릭스 만찬 불참”…방미 앞두고 또 건강이상설,“시진핑 몸 불편해 브릭스 만찬 불참”…방미 앞두고 또 건강이상설 중앙일보,https://news.google.com/rss/articles/CBMiVkFVX3lxTE0tbWpFVzNCVFJ0eVFWbjkxUi03dVh2cm1kMDlBaEsxRXY2bUJITmZYTHlfcFRKR2Q0YVdmbm1mYzY1WHhGLWJYSW4zdUVWb0pKd25zM1NB?oc=5,"Sat, 19 Sep 2026 04:42:15 GMT"
2026-09-20,google,건강,지역사회 건강 증진과 건강격차완화 초석 '지역사회건강조사' 우수논문 선정(9.18.금),지역사회 건강 증진과 건강격차완화 초석 '지역사회건강조사' 우수논문 선정(9.18.금) 대한민국 정책브리핑,https://news.google.com/rss/articles/CBMidEFVX3lxTE4xUF9zQlZWNlRuNW9MOFF2LU5wY3R1ZWMtTWxYWUk1QmVGcWRiU0pJZ3NHVzd5N0N6MmhpLVRJZ0xLdUJmVUhEVVFCY3F2ekE1ZThaV3FYNGlTVVhubjB2OUtDZzFQQmVzRG9XdERSLXotY2kx?oc=5,"Fri, 18 Sep 2026 02:00:00 GMT"
2026-09-20,google,건강,"""건강 챙기려 바나나 먹었는데""..심장 멈추게 만드는 '칼륨 폭탄'","""건강 챙기려 바나나 먹었는데""..심장 멈추게 만드는 '칼륨 폭탄' v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5uRDhySzd4NHBjTHVGcVNaZEl1VDJRNkJ1Z3B1VXNnU2MxQzc3cDVJRmJUU2t5VWNJSEJYZTlycHBTLUxGaFdRTU5rbUFXOTA?oc=5,"Sat, 19 Sep 2026 10:37:13 GMT"
2026-09-20,google,건강,전국 맑고 쾌청한 일요일…일교차 큰 날씨 건강 유의,전국 맑고 쾌청한 일요일…일교차 큰 날씨 건강 유의 연합뉴스,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1pYXloV0RkWGhQakRESTlhV0hreC1uaE5ldVVnOU83dFJGZDNxbGY0Mmt5ZFc5aDdzek5adWMxRmJpY2w0TDJyZC1zb2VlOVk2M2FZZ2JvTjNDWUXSAWBBVV95cUxNc0dPank5MUdmeHVLcnJIWUlFZUtuSndaeHViSGxEU1RmZWxFSVpmZ0R6UG1fSTFsQU5xaGhtRnMyQ1k3YnZRRm0wU2s3dWxKZjZzMm90T3hiNzJCRExhZVM?oc=5,"Sat, 19 Sep 2026 20:21:01 GMT"
2026-09-20,google,건강,"수면등도 건강 악영향? ""심장 내부 좁아지고 유연성↓","수면등도 건강 악영향? ""심장 내부 좁아지고 유연성↓ YTN",https://news.google.com/rss/articles/CBMiXkFVX3lxTE5YOXhxS2ZycnZIbl83Y1A1NEU0S1NGX2hCVV9va2FJSXVuTGM0RzJ2YlZKLXBtMVJhRk9uU1AxWUdIbWltOVNwWGJONk5BcUpqcVYyVmxsWF9XR3c5cnc?oc=5,"Sat, 19 Sep 2026 20:45:00 GMT"
