date,source,query,title,description,link,published
2026-08-17,google,건강,"“하루 만 보씩 걷고 물 충분히 마셨는데”…눈 떠보니 응급실, 건강상식 틀렸다","“하루 만 보씩 걷고 물 충분히 마셨는데”…눈 떠보니 응급실, 건강상식 틀렸다 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9fRkp2bHhEd1RERUpWWGp4MmtIS3QtYV9aYWMtSTJRZDhIc0t2NUhyM0gtZXRkbHdKM3NZZE0wQTFjSWc1MGFmc1hmRjduQkE?oc=5,"Mon, 17 Aug 2026 00:21:01 GMT"
2026-08-17,google,건강,"여행으로 건강 회복하고 마음 치유···경기도, 웰니스 관광지 7곳 신규 인증","여행으로 건강 회복하고 마음 치유···경기도, 웰니스 관광지 7곳 신규 인증 경향신문",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQQS1JcnEtZzRMMW5uT2YxNUR0MEk5c19QUTBteUZ1U1ZCQlBabUNYanRIeWRyaHV1eGhNa2lHRTEzbDZybUNmdldOeTJsM0JrOVRfYnk1MjExcDVpVDhQaTRwMjlQZlc0a1k5c3BHNUpNdmh5N1F2c2kzTEpTblpCOGdFRWNfT21aNnRLZXJLMjN5WTFaVWtuc0tFWXE4bVp3UDhWWDd0SV9sUdIBX0FVX3lxTE9YTHcxa3Z6OV9sLVBUZEswQ2ZveEFFdWpFNXRsVWxpc1U0YnF4M3g3UGZER3Q0al90M1Y0cnE0aW1JSF9ydFhaREhzNHhMWnd0Q1FZWDdrb2xESGtLakhv?oc=5,"Mon, 17 Aug 2026 01:41:00 GMT"
2026-08-17,google,건강,"美사령관 '장기파병 투신시도' 중동 항모 방문…""정신건강 중요""(종합)","美사령관 '장기파병 투신시도' 중동 항모 방문…""정신건강 중요""(종합) 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5YWVc2Nm9QdWZEb2pWM0JZZm4xWEZBVFlxTUpLaXZIVThoblV2UlJuWWgtR0p0T25BUUh1RE1seW00VEh0ZDZjNXg3Yi1Ldlg5ckRVNkdlQW5FeDTSAWBBVV95cUxOUnhYVnFHd0hlY0ZRUzlvdlFJUzdWT1lkZEtDTWxwaThDdG5TQ3BqU3BBM2Q5dWdtUTIyT0wyT3dMSjJWLTRZUU4zMTI1U2tRWjlFdUE1NTZnV3hUVmhmUjM?oc=5,"Sun, 16 Aug 2026 20:17:39 GMT"
2026-08-17,google,건강,"수험생 고질병…""목·허리·눈 통증 참지 마세요""[수능 건강관리②]","수험생 고질병…""목·허리·눈 통증 참지 마세요""[수능 건강관리②] 뉴시스",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5feDBGU3U0RWV2dnZ2Z2l2djl3TmxZM0xQWTFHVjdDaGZEcnFlSF9KMXJjTWRSRjM2OUZGM2hqQVNMXzdHRzBzenpHS1dfRnIwbGwyTmpFQ2hndzlXcnlZcdIBeEFVX3lxTE9mR3AxSkd0VGVzOW5wUTBqNDVRVm5PajVZMmNQdUJVRmx6cTNmak5vSi1vTUwxTFZWU2ZIMlRjMmVEWThsZzJxUXVJQ01ndDlaNE15cXhSTGh3WlR4UDRSR20zYkZ6Zjh6VUh5ekwzWE5EMy1XYXBMUA?oc=5,"Sun, 16 Aug 2026 09:01:00 GMT"
2026-08-17,google,건강,"한국건강관리협회 부산동부검진센터, 사회공헌 건강검진 실시","한국건강관리협회 부산동부검진센터, 사회공헌 건강검진 실시 국제신문",https://news.google.com/rss/articles/CBMijgFBVV95cUxQRWpKWWxBSkQwbTN6TGJXandTWXVyU3dIeEZZMnFvejd0d2hZUDNhMDM3Q0xQd2lHdVQzMmh0M2pDYnlNbnExVTROcUdyUHk2eWNETzFzeFhmS0FoSS16WUZGQVJ4SWtaWG5TeVdPTHRlS0RmclNKLVd0eTl5ZWRBVXdVbkxaWDZZYXdOeVlB?oc=5,"Sun, 16 Aug 2026 10:40:00 GMT"
2026-08-17,google,건강,"정읍시자원봉사센터·정읍시, 폭염 속 시민 건강 지키는 ‘시원한 생수 나눔’","정읍시자원봉사센터·정읍시, 폭염 속 시민 건강 지키는 ‘시원한 생수 나눔’ 이로운넷",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1iRTJ4cU1WRHV2V21DTmpHZXpXWC0tT2ZOcjdGckxZTDlPVmh5YmtQbS0tYVJydUE3NjVGS0wzVWh0ZlRpeUFJX0tlNkdoMUhUWHFXWG14SmdEV0dCTUVucFZDMm90QQ?oc=5,"Fri, 14 Aug 2026 08:53:28 GMT"
2026-08-17,google,건강,"삼성·애플, 스마트워치 ‘건강 데이터’ 쟁탈전 펼쳐져","삼성·애플, 스마트워치 ‘건강 데이터’ 쟁탈전 펼쳐져 IT조선",https://news.google.com/rss/articles/CBMicEFVX3lxTE9LSm1nWFg3UkR4TlZVb3htcHo5dkl6UmIxRXdvdlMwUkp6bmpkZURYTnJnNGZlNmZNNlA2MUFwRGVqdW1qNzFwLWdkQkNacGlSdDgxM2hXZzhDSElHY0lBQnlqbnNvSl9nSU82cXpNeTDSAXRBVV95cUxON2VZNWI3QlBaamtkSjJCV0RjS3RfSkFWYXhKaVlmU1FzN242N1g0d0JLR2lYQzZ2a2NRZjFuVWtUUEQwczlVQW4tMW9DRXVCMnJtaFdQTFlCd3k5RVJWOGdmUGRLcW56cVVNQmg2cldXZHM2RQ?oc=5,"Sat, 15 Aug 2026 23:00:00 GMT"
2026-08-17,google,건강,매일 6층 계단 올랐더니…80대 노인 '놀라운 변화' 나타났다 [이지현의 생생헬스],매일 6층 계단 올랐더니…80대 노인 '놀라운 변화' 나타났다 [이지현의 생생헬스] 한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5adFd1OVpYQm5Wb3pYNEVvRmV6UVVIbHRzQmNUMWU5YkxsdUY4Q3plaHdiZWp4RDhOOW9fNERJWmtmeHV6aTJNTDVmT0NkMEo0NFFHT3UtUjBCUQ?oc=5,"Sat, 15 Aug 2026 21:00:07 GMT"
2026-08-17,google,건강,"""밥 묵자"" 부모와 한 끼 식사의 놀라운 효과, 청소년 건강에 결정적","""밥 묵자"" 부모와 한 끼 식사의 놀라운 효과, 청소년 건강에 결정적 아시아경제",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9zdXh5akxCWHg2NzRxcXJkX1Z5NTd4SHNJNE5BRlF3c3VIei1aLVoyZzlwSFVmMUZTRTJlU0lhQXVHYWpqa29vYVA2ZVRFM2VKeTVzaGc2OHYzR0lKU0IyeQ?oc=5,"Sun, 16 Aug 2026 00:48:38 GMT"
2026-08-17,google,건강,"미 중부사령관, 'USS 링컨호 정신건강 문제' 인정…장기 중동 배치 논란","미 중부사령관, 'USS 링컨호 정신건강 문제' 인정…장기 중동 배치 논란 뉴스핌",https://news.google.com/rss/articles/CBMiXEFVX3lxTE5mVDk0QzZHZ0Z5SEVIRWkyUlVyQnRZMUwzNldVMmxzQW9BakNkamRTLTBaSGlMVlpyVnc1TTktdGM4RUdyWm90bGQyaEpvT3FDbUMxdk9ueENDRmlE?oc=5,"Sun, 16 Aug 2026 20:32:00 GMT"
